Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Q1,Si2302,SOT-23,106.100000,-107.800000,180.000000,top
Q2,Si2301,SOT-23,106.000000,-94.500000,90.000000,top
Q3,Si2302,SOT-23,110.650000,-107.700000,180.000000,top
Q4,Si2302,SOT-23,103.150000,-98.050000,0.000000,top
Q5,Si2302,SOT-23,115.050000,-107.800000,180.000000,top
R1,1k,R_0402_1005Metric,103.650000,-100.450000,0.000000,top
R2,10k,R_0402_1005Metric,106.000000,-92.250000,180.000000,top
R3,1k,R_0402_1005Metric,105.950000,-105.450000,180.000000,top
R4,1k,R_0402_1005Metric,110.350000,-105.450000,180.000000,top
R5,10k,R_0402_1005Metric,108.000000,-104.250000,90.000000,top
R6,10k,R_0402_1005Metric,112.500000,-104.250000,90.000000,top
R7,1k,R_0402_1005Metric,114.765000,-105.500000,180.000000,top
R8,10k,R_0402_1005Metric,117.000000,-104.250000,90.000000,top
U1,FS8205A,TSSOP-8_4.4x3mm_P0.65mm,106.750000,-114.000000,0.000000,top
U2,FS8205A,TSSOP-8_4.4x3mm_P0.65mm,111.250000,-114.000000,0.000000,top
U3,FS8205A,TSSOP-8_4.4x3mm_P0.65mm,115.750000,-114.000000,0.000000,top
