Comment,Designator,Footprint,LCSC, LCSC
"Conn_01x12","J1,J2","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","","C225509"
"Conn_01x06","J3","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","","C40877"
"Screw_Terminal_01x04","J4","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal",""
"ExtVCC","J5","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"SolderJumper_3_Open","JP1","Jumper:SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels",""
"Si2302","Q1,Q3,Q5,Q4","Package_TO_SOT_SMD:SOT-23","","C181087"
"Si2301","Q2","Package_TO_SOT_SMD:SOT-23","","C10487"
"1k","R1,R3,R4,R7","Resistor_SMD:R_0402_1005Metric","","C11702"
"10k","R2,R5,R6,R8","Resistor_SMD:R_0402_1005Metric","","C25744"
"SW_DIP_x06","SW1","Button_Switch_THT:SW_DIP_SPSTx06_Slide_6.7x16.8mm_W7.62mm_P2.54mm_LowProfile","","C319058"
"FS8205A","U1,U2,U3","Package_SO:TSSOP-8_4.4x3mm_P0.65mm","","C16052"
"NRF24L01_Breakout","U4","RF_Module:nRF24L01_Breakout",""
