"Comment","Designator","Footprint","LCSC Part #"
"100nF","C5,C13,C11,C3,C4,C1,C2,C10","C_0402_1005Metric","C1525"
"10uF","C6,C8","C_0805_2012Metric","C15850"
"3.3pF","C7","C_0402_1005Metric","C1565"
"1uF","C9,C14,C12","C_0805_2012Metric","C28323"
"SS14","D1,D2","D_SMA","C2480"
"RLED","D8","D_0603_1608Metric","C2286"
"BLED","D9,D5,D4,D3","D_0603_1608Metric","C72041"
"GLED","D10","D_0603_1608Metric","C72043"
"3.3uH","L1","L_0805_2012Metric","C51725"
"2N3904","Q1","SOT-23","C18536"
"100","R8","R_0402_1005Metric","C25076"
"10k","R9,R29,R13,R3,R11,R32","R_0402_1005Metric","C25744"
"1k","R10,R27,R28,R26,R19,R16,R17,R18,R33,R34","R_0402_1005Metric","C11702"
"200k","R14","R_0603_1608Metric","C25811"
"620k","R15","R_0603_1608Metric","C23219"
"47k","R25,R23,R21,R22,R24,R20,R31,R1,R2,R6,R7,R4,R5","R_0402_1005Metric","C25792"
"120","R30,R12","R_0402_1005Metric","C25079"
"SW_Push","SW1","LCSC_C255808_HYP_2x4x3.5mm_RightAngle","C255808"
"SW_BATT_DISCONNECT","SW2","LCSC_C136659_HRO_SPDT_6.7x2.6mm_ToggleSwitch","C136659"
"74HC14","U1","SOIC-14_3.9x8.7mm_P1.27mm","C5605"
"STM32L432KBUx","U2","QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm","C94784"
"TPS61040","U3","SOT-23-5","C7722"
"AMS1117-3.3","U4","SOT-223-3_TabPin2","C6186"
"SN65HVD232","U5","SOIC-8_3.9x4.9mm_P1.27mm","C30530"
"AT25SF081-SSHD-X","U6","SOIC-8_3.9x4.9mm_P1.27mm","C169368"
"DW01+G","U7","SOT-23-6","C14213"
"FS8205A","U8","TSSOP-8_4.4x3mm_P0.65mm","C16052"
"TP4056","U9","TP4056_SOP-8-PP","C16581"
"CP2104","U10","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","C47742"
